OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
25,000501,2,110010005012,1641,1581,1394,39,0,138,0,10,18,9,31,3,113,1318,39,0,136,0,1,6,2,27,3,1564,1336,38,0,133,0,9,14,8,22,3,97,1271,38,0,131,0,0,4,2,20,3,1199,1095,104,3441.69667440205,316038.453482226
26,000502,1,110010005021,1850,1807,1585,47,14,108,0,53,11,9,26,0,195,1464,44,4,107,0,5,7,5,23,0,1550,1336,39,8,95,0,44,7,8,15,0,149,1243,37,3,94,0,3,6,5,14,0,897,844,53,3728.6777042348,405398.788393196
27,000502,2,110010005022,1339,1288,1135,48,1,84,0,20,15,8,30,1,76,1086,45,1,84,0,4,14,8,29,1,1236,1064,46,1,71,0,16,10,5,22,1,74,1015,43,1,71,0,1,9,5,22,1,877,799,78,2252.38195749696,176046.284203973
28,000100,1,110010001001,1343,1323,1222,21,3,54,1,22,2,3,10,1,109,1137,21,3,54,1,3,2,3,9,1,1168,1063,17,3,50,1,16,1,3,9,1,86,995,17,3,50,1,3,1,3,8,1,793,714,79,4339.47426906757,814788.94245263
29,000100,2,110010001002,1384,1350,1250,34,4,54,1,7,9,4,20,0,65,1197,33,4,52,1,3,9,3,18,0,1276,1155,31,3,53,1,7,6,4,15,0,59,1107,30,3,51,1,3,6,3,13,0,999,901,98,2168.6186606623,199324.511149621
30,000100,3,110010001003,1163,1150,1079,16,0,48,0,7,0,1,11,1,63,1023,16,0,47,0,2,0,1,10,1,970,908,14,0,40,0,4,0,1,2,1,57,857,14,0,39,0,0,0,1,1,1,573,538,35,1874.89574045609,194329.65702893
31,001200,1,110010012001,1821,1760,1438,122,4,158,0,38,31,10,19,0,143,1352,114,3,155,0,9,24,10,18,0,1647,1302,116,3,144,0,30,25,10,19,0,131,1219,108,3,141,0,5,19,10,18,0,1145,1088,57,2272.47143284184,192679.891315971
32,001200,2,110010012002,1018,1000,832,77,4,72,1,14,10,5,9,0,68,779,77,3,72,1,0,10,5,9,0,894,733,66,3,63,1,13,10,5,7,0,63,684,66,2,63,1,0,10,5,7,0,558,526,32,2264.43098838648,179144.976878293
33,001200,3,110010012003,772,747,623,25,3,77,2,17,9,6,12,2,60,583,25,1,77,2,2,8,5,11,2,630,504,20,2,73,2,15,6,4,5,1,54,468,20,0,73,2,1,6,4,4,1,316,309,7,2544.96871344712,197150.043622046
34,001200,4,110010012004,1397,1343,1180,48,7,81,0,27,7,2,36,3,128,1091,47,2,81,0,3,4,2,35,2,1167,992,37,7,75,0,21,6,2,20,3,102,922,36,2,75,0,2,3,2,19,2,614,593,21,3855.04296811246,649118.966693852
35,001301,1,110010013011,1578,1535,1249,107,0,159,0,20,12,4,30,0,103,1170,105,0,158,0,3,9,5,28,0,1371,1112,82,0,129,0,16,9,6,22,0,87,1042,80,0,129,0,3,8,5,22,0,766,720,46,8689.75630975826,2092333.07074506
36,001301,2,110010013012,678,650,518,85,2,33,0,12,6,1,21,1,54,476,82,1,33,0,5,6,1,20,1,535,426,63,2,28,0,5,4,1,6,1,44,390,61,1,28,0,0,4,1,6,1,275,265,10,3335.34373923887,544436.516703126
37,001301,3,110010013013,1699,1658,1280,182,5,165,0,26,23,8,16,0,133,1174,180,4,165,0,7,20,6,16,0,1571,1198,172,5,144,0,22,16,8,11,0,121,1102,170,4,144,0,5,13,6,11,0,1115,1045,70,2235.46642822373,216715.275026098
